City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
299,Rio Gallegos,-51.6226,-69.2181,48.25,40,40,14.97,AR,scattered clouds
300,Chicama,-7.8447,-79.1469,63.14,80,9,5.39,PE,clear sky
301,Carlagan,14.975,122.0456,80.73,85,100,14.5,PH,overcast clouds
302,Ostrovnoy,68.0531,39.5131,18.55,89,35,9.37,RU,scattered clouds
303,East London,-33.0153,27.9116,64.38,82,100,5.55,ZA,light rain
304,Santa Apolonia,14.7914,-90.9708,51.89,93,38,6.6,GT,scattered clouds
305,Avera,33.194,-82.5271,62.11,92,87,5.86,US,overcast clouds
306,Aitape,-3.1374,142.3475,78.35,88,100,5.93,PG,light rain
307,Nakhon Phanom,17.3333,104.4167,74.88,66,77,3.74,TH,broken clouds
308,Vardo,70.3705,31.1107,28.38,86,100,4.61,NO,overcast clouds
309,Ixtapa,20.7,-105.2,78.22,79,78,1.88,MX,broken clouds
310,Tsaratanana,-16.7833,47.65,73.78,84,64,3.89,MG,broken clouds
311,Miram Shah,33.0086,70.0697,52.05,39,3,6.73,PK,clear sky
312,College,64.8569,-147.8028,27.59,94,100,0.0,US,overcast clouds
313,Lazaro Cardenas,17.9583,-102.2,77.97,79,0,2.66,MX,clear sky
314,Krasnoselkup,65.7,82.4667,-14.98,100,94,3.0,RU,overcast clouds
315,Peniche,39.3558,-9.3811,53.29,94,13,8.46,PT,few clouds
316,Lerwick,60.1545,-1.1494,42.8,69,100,13.6,GB,overcast clouds
317,Port Hardy,50.6996,-127.4199,30.38,100,20,2.3,CA,few clouds
318,Yellowknife,62.456,-114.3525,14.52,92,100,8.05,CA,light snow
319,Bachaquero,9.9694,-71.1494,76.6,81,40,3.67,VE,scattered clouds
320,Mackay,-21.15,149.2,85.68,63,2,14.34,AU,clear sky
321,Biak,-0.9131,122.8766,81.18,76,100,1.48,ID,overcast clouds
322,Mae Chan,20.1467,99.8526,69.24,81,17,1.52,TH,few clouds
323,Volsk,52.0333,47.3833,10.31,78,15,4.97,RU,few clouds
324,Tarko-Sale,64.9225,77.785,-9.87,98,17,6.8,RU,few clouds
325,Batemans Bay,-35.7167,150.1833,70.11,48,0,10.87,AU,clear sky
326,Tura,25.5198,90.2201,65.16,76,0,2.04,IN,clear sky
327,Te Horo,-40.8084,175.1233,66.61,72,63,5.99,NZ,broken clouds
328,Hondagua,13.9469,122.2431,84.79,71,76,8.5,PH,broken clouds
329,Surt,31.2089,16.5887,63.97,47,62,17.36,LY,broken clouds
330,Suntar,62.1444,117.6319,7.9,92,100,10.2,RU,overcast clouds
331,Karratha,-20.7377,116.8463,96.49,27,2,9.6,AU,clear sky
332,Gamba,-2.65,10.0,73.98,93,100,3.8,GA,light rain
333,Codrington,-38.2667,141.9667,84.2,40,100,10.63,AU,overcast clouds
334,Paamiut,61.994,-49.6678,17.71,70,12,14.76,GL,few clouds
335,Qasigiannguit,68.8193,-51.1922,18.01,92,100,5.39,GL,overcast clouds
336,Sfantu Gheorghe,45.8667,25.7833,42.26,87,100,5.14,RO,overcast clouds
337,Namibe,-15.1961,12.1522,70.14,85,99,4.07,AO,overcast clouds
338,Mokrous,51.2333,47.5167,10.56,70,6,7.45,RU,clear sky
339,Soeng Sang,14.4264,102.4606,73.6,88,98,5.55,TH,overcast clouds
340,Loukhi,66.0764,33.0381,21.31,90,100,6.38,RU,overcast clouds
341,Bereda,43.2686,-7.5406,34.41,100,14,1.34,ES,few clouds
342,Cabinda,-5.55,12.2,77.11,90,100,4.81,AO,moderate rain
343,Chumikan,54.7183,135.315,-14.42,80,72,20.89,RU,broken clouds
